id,player_name,game_date,opponent_team,is_home,prop_type,actual_result,closing_line
1373,"Justin Champagnie",2025-12-12,CLE,1,points,3.0,
1377,"Justin Champagnie",2025-12-12,CLE,1,pr,10.0,
1376,"Justin Champagnie",2025-12-12,CLE,1,pra,11.0,
1379,"Justin Champagnie",2025-12-12,CLE,1,ra,8.0,
1374,"Justin Champagnie",2025-12-12,CLE,1,rebounds,7.0,
1382,"Justin Champagnie",2025-12-06,ATL,1,assists,3.0,
1385,"Justin Champagnie",2025-12-06,ATL,1,pa,19.0,
1380,"Justin Champagnie",2025-12-06,ATL,1,points,16.0,
1384,"Justin Champagnie",2025-12-06,ATL,1,pr,21.0,
1383,"Justin Champagnie",2025-12-06,ATL,1,pra,24.0,
1386,"Justin Champagnie",2025-12-06,ATL,1,ra,8.0,
1381,"Justin Champagnie",2025-12-06,ATL,1,rebounds,5.0,
1389,"Justin Champagnie",2025-12-04,BOS,1,assists,1.0,
1392,"Justin Champagnie",2025-12-04,BOS,1,pa,10.0,
1387,"Justin Champagnie",2025-12-04,BOS,1,points,9.0,
1391,"Justin Champagnie",2025-12-04,BOS,1,pr,16.0,
1390,"Justin Champagnie",2025-12-04,BOS,1,pra,17.0,
1393,"Justin Champagnie",2025-12-04,BOS,1,ra,8.0,
1388,"Justin Champagnie",2025-12-04,BOS,1,rebounds,7.0,
1396,"Justin Champagnie",2025-12-02,PHI,0,assists,1.0,
1399,"Justin Champagnie",2025-12-02,PHI,0,pa,14.0,
1394,"Justin Champagnie",2025-12-02,PHI,0,points,13.0,
1398,"Justin Champagnie",2025-12-02,PHI,0,pr,20.0,
1397,"Justin Champagnie",2025-12-02,PHI,0,pra,21.0,
1400,"Justin Champagnie",2025-12-02,PHI,0,ra,8.0,
1395,"Justin Champagnie",2025-12-02,PHI,0,rebounds,7.0,
1403,"Justin Champagnie",2025-12-01,MIL,1,assists,2.0,
1406,"Justin Champagnie",2025-12-01,MIL,1,pa,12.0,
1401,"Justin Champagnie",2025-12-01,MIL,1,points,10.0,
1405,"Justin Champagnie",2025-12-01,MIL,1,pr,18.0,
1404,"Justin Champagnie",2025-12-01,MIL,1,pra,20.0,
1407,"Justin Champagnie",2025-12-01,MIL,1,ra,10.0,
1402,"Justin Champagnie",2025-12-01,MIL,1,rebounds,8.0,
1410,"Justin Champagnie",2025-11-28,IND,0,assists,0.0,
1413,"Justin Champagnie",2025-11-28,IND,0,pa,0.0,
1408,"Justin Champagnie",2025-11-28,IND,0,points,0.0,
1412,"Justin Champagnie",2025-11-28,IND,0,pr,2.0,
1411,"Justin Champagnie",2025-11-28,IND,0,pra,2.0,
1414,"Justin Champagnie",2025-11-28,IND,0,ra,2.0,
1409,"Justin Champagnie",2025-11-28,IND,0,rebounds,2.0,
1417,"Justin Champagnie",2025-11-25,ATL,1,assists,1.0,
1420,"Justin Champagnie",2025-11-25,ATL,1,pa,5.0,
1415,"Justin Champagnie",2025-11-25,ATL,1,points,4.0,
1419,"Justin Champagnie",2025-11-25,ATL,1,pr,9.0,
1418,"Justin Champagnie",2025-11-25,ATL,1,pra,10.0,
1421,"Justin Champagnie",2025-11-25,ATL,1,ra,6.0,
1416,"Justin Champagnie",2025-11-25,ATL,1,rebounds,5.0,
1424,"Justin Champagnie",2025-11-22,CHI,0,assists,2.0,
1427,"Justin Champagnie",2025-11-22,CHI,0,pa,4.0,
1422,"Justin Champagnie",2025-11-22,CHI,0,points,2.0,
1426,"Justin Champagnie",2025-11-22,CHI,0,pr,7.0,
1425,"Justin Champagnie",2025-11-22,CHI,0,pra,9.0,
1428,"Justin Champagnie",2025-11-22,CHI,0,ra,7.0,
1423,"Justin Champagnie",2025-11-22,CHI,0,rebounds,5.0,
1431,"Justin Champagnie",2025-11-21,TOR,0,assists,4.0,
1434,"Justin Champagnie",2025-11-21,TOR,0,pa,11.0,
1429,"Justin Champagnie",2025-11-21,TOR,0,points,7.0,
1433,"Justin Champagnie",2025-11-21,TOR,0,pr,10.0,
1432,"Justin Champagnie",2025-11-21,TOR,0,pra,14.0,
1435,"Justin Champagnie",2025-11-21,TOR,0,ra,7.0,
1430,"Justin Champagnie",2025-11-21,TOR,0,rebounds,3.0,
1438,"Justin Champagnie",2025-11-16,BKN,1,assists,0.0,
1441,"Justin Champagnie",2025-11-16,BKN,1,pa,4.0,
1436,"Justin Champagnie",2025-11-16,BKN,1,points,4.0,
1440,"Justin Champagnie",2025-11-16,BKN,1,pr,4.0,
1439,"Justin Champagnie",2025-11-16,BKN,1,pra,4.0,
1442,"Justin Champagnie",2025-11-16,BKN,1,ra,0.0,
1437,"Justin Champagnie",2025-11-16,BKN,1,rebounds,0.0,
1445,"Justin Champagnie",2025-11-12,HOU,0,assists,0.0,
1448,"Justin Champagnie",2025-11-12,HOU,0,pa,0.0,
1443,"Justin Champagnie",2025-11-12,HOU,0,points,0.0,
1447,"Justin Champagnie",2025-11-12,HOU,0,pr,1.0,
1446,"Justin Champagnie",2025-11-12,HOU,0,pra,1.0,
1449,"Justin Champagnie",2025-11-12,HOU,0,ra,1.0,
1444,"Justin Champagnie",2025-11-12,HOU,0,rebounds,1.0,
1452,"Justin Champagnie",2025-11-10,DET,0,assists,0.0,
1455,"Justin Champagnie",2025-11-10,DET,0,pa,0.0,
1450,"Justin Champagnie",2025-11-10,DET,0,points,0.0,
1454,"Justin Champagnie",2025-11-10,DET,0,pr,0.0,
1453,"Justin Champagnie",2025-11-10,DET,0,pra,0.0,
1456,"Justin Champagnie",2025-11-10,DET,0,ra,0.0,
1451,"Justin Champagnie",2025-11-10,DET,0,rebounds,0.0,
1459,"Justin Champagnie",2025-11-08,DAL,1,assists,0.0,
1462,"Justin Champagnie",2025-11-08,DAL,1,pa,0.0,
1457,"Justin Champagnie",2025-11-08,DAL,1,points,0.0,
1461,"Justin Champagnie",2025-11-08,DAL,1,pr,5.0,
1460,"Justin Champagnie",2025-11-08,DAL,1,pra,5.0,
1463,"Justin Champagnie",2025-11-08,DAL,1,ra,5.0,
1458,"Justin Champagnie",2025-11-08,DAL,1,rebounds,5.0,
1466,"Justin Champagnie",2025-11-07,CLE,1,assists,2.0,
1469,"Justin Champagnie",2025-11-07,CLE,1,pa,8.0,
