id,player_name,game_date,opponent_team,prop_type,hit,is_home,is_b2b,games_experience,minutes_bucket,closing_line,season_avg,last_10_avg,last_5_avg,std_dev,games_played,minutes_avg,days_rest,line_vs_season,line_vs_recent,form_trend,line_difficulty,actual_result,split,parsed_date
5878,Alperen Sengun,1/26/26,MEM,pr,1,1,0,experienced,starter,28.5,30.2,25.4,28.4,,36,34.3,2,-1.6999999999999993,3.1000000000000014,3.0,,42,val,2026-01-26
5877,Alperen Sengun,1/26/26,MEM,pra,1,1,0,experienced,starter,6.5,36.6,30.8,34.0,,36,34.3,2,-30.1,-24.3,3.1999999999999993,,48,val,2026-01-26
5880,Alperen Sengun,1/26/26,MEM,ra,0,1,0,experienced,starter,15.5,15.4,13.4,14.4,,36,34.3,2,0.09999999999999964,2.0999999999999996,1.0,,15,val,2026-01-26
5875,Alperen Sengun,1/26/26,MEM,rebounds,0,1,0,experienced,starter,9.5,9.0,8.0,8.8,3.6,36,34.3,2,0.5,1.5,0.8000000000000007,0.1388888888888889,9,val,2026-01-26
5883,Alperen Sengun,1/23/26,DET,assists,0,0,1,experienced,starter,5.5,6.4,5.3,5.6,2.6,35,34.4,0,-0.9000000000000004,0.20000000000000018,0.2999999999999998,-0.34615384615384626,5,val,2026-01-23
5886,Alperen Sengun,1/23/26,DET,pa,0,0,1,experienced,starter,24.5,27.7,22.2,24.2,,35,34.4,0,-3.1999999999999993,2.3000000000000007,2.0,,24,val,2026-01-23
5881,Alperen Sengun,1/23/26,DET,points,0,0,1,experienced,starter,19.5,21.3,16.9,18.6,7.5,35,34.4,0,-1.8000000000000007,2.6000000000000014,1.7000000000000028,-0.2400000000000001,19,val,2026-01-23
5885,Alperen Sengun,1/23/26,DET,pr,0,0,1,experienced,starter,28.5,30.5,26.0,29.8,,35,34.4,0,-2.0,2.5,3.8000000000000007,,20,val,2026-01-23
5884,Alperen Sengun,1/23/26,DET,pra,1,0,1,experienced,starter,5.5,36.9,31.3,35.4,,35,34.4,0,-31.4,-25.8,4.099999999999998,,25,val,2026-01-23
5887,Alperen Sengun,1/23/26,DET,ra,0,0,1,experienced,starter,14.5,15.6,14.4,16.8,,35,34.4,0,-1.0999999999999996,0.09999999999999964,2.4000000000000004,,6,val,2026-01-23
5882,Alperen Sengun,1/23/26,DET,rebounds,0,0,1,experienced,starter,8.5,9.2,9.1,11.2,3.4,35,34.4,0,-0.6999999999999993,-0.5999999999999996,2.0999999999999996,-0.20588235294117627,1,val,2026-01-23
5890,Alperen Sengun,1/22/26,PHI,assists,1,0,0,experienced,starter,6.5,6.4,5.3,6.4,2.7,34,34.3,1,0.09999999999999964,1.2000000000000002,1.1000000000000005,0.0370370370370369,7,val,2026-01-22
5893,Alperen Sengun,1/22/26,PHI,pa,0,0,0,experienced,starter,26.5,27.9,22.8,27.0,,34,34.3,1,-1.3999999999999986,3.6999999999999993,4.199999999999999,,20,val,2026-01-22
5888,Alperen Sengun,1/22/26,PHI,points,0,0,0,experienced,starter,19.5,21.5,17.5,20.6,7.4,34,34.3,1,-2.0,2.0,3.1000000000000014,-0.27027027027027023,13,val,2026-01-22
5892,Alperen Sengun,1/22/26,PHI,pr,0,0,0,experienced,starter,28.5,30.8,26.9,31.6,,34,34.3,1,-2.3000000000000007,1.6000000000000014,4.700000000000003,,21,val,2026-01-22
5891,Alperen Sengun,1/22/26,PHI,pra,1,0,0,experienced,starter,6.5,37.2,32.2,38.0,,34,34.3,1,-30.700000000000003,-25.700000000000003,5.799999999999997,,28,val,2026-01-22
5894,Alperen Sengun,1/22/26,PHI,ra,0,0,0,experienced,starter,15.5,15.6,14.7,17.4,,34,34.3,1,-0.09999999999999964,0.8000000000000007,2.6999999999999993,,15,val,2026-01-22
5889,Alperen Sengun,1/22/26,PHI,rebounds,0,0,0,experienced,starter,8.5,9.2,9.4,11.0,3.4,34,34.3,1,-0.6999999999999993,-0.9000000000000004,1.5999999999999996,-0.20588235294117627,8,val,2026-01-22
5897,Alperen Sengun,1/20/26,SAS,assists,1,1,0,experienced,starter,6.5,6.3,4.7,5.4,2.7,33,34.3,1,0.20000000000000018,1.7999999999999998,0.7000000000000002,0.07407407407407414,9,train,2026-01-20
5900,Alperen Sengun,1/20/26,SAS,pa,1,1,0,experienced,starter,25.5,27.9,23.0,25.8,,33,34.3,1,-2.3999999999999986,2.5,2.8000000000000007,,29,train,2026-01-20
5895,Alperen Sengun,1/20/26,SAS,points,1,1,0,experienced,starter,18.5,21.6,18.3,20.4,7.6,33,34.3,1,-3.1000000000000014,0.1999999999999993,2.099999999999998,-0.4078947368421055,20,train,2026-01-20
5899,Alperen Sengun,1/20/26,SAS,pr,1,1,0,experienced,starter,28.5,30.7,27.0,30.6,,33,34.3,1,-2.1999999999999993,1.5,3.6000000000000014,,33,train,2026-01-20
5898,Alperen Sengun,1/20/26,SAS,pra,1,1,0,experienced,starter,6.5,37.0,31.7,36.0,,33,34.3,1,-30.5,-25.2,4.300000000000001,,42,train,2026-01-20
5901,Alperen Sengun,1/20/26,SAS,ra,1,1,0,experienced,starter,15.5,15.5,13.4,15.6,,33,34.3,1,0.0,2.0999999999999996,2.1999999999999993,,22,train,2026-01-20
5896,Alperen Sengun,1/20/26,SAS,rebounds,1,1,0,experienced,starter,9.5,9.1,8.7,10.2,3.4,33,34.3,1,0.40000000000000036,0.8000000000000007,1.5,0.11764705882352952,13,train,2026-01-20
5904,Alperen Sengun,1/18/26,NOP,assists,0,1,0,experienced,starter,6.5,6.4,4.7,4.6,2.7,32,34.3,1,0.09999999999999964,1.7999999999999998,-0.10000000000000053,0.0370370370370369,4,train,2026-01-18
5907,Alperen Sengun,1/18/26,NOP,pa,0,1,0,experienced,starter,29.5,28.0,21.7,20.8,,32,34.3,1,1.5,7.800000000000001,-0.8999999999999986,,25,train,2026-01-18
5902,Alperen Sengun,1/18/26,NOP,points,0,1,0,experienced,starter,22.5,21.6,17.0,16.2,7.7,32,34.3,1,0.8999999999999986,5.5,-0.8000000000000007,0.1168831168831167,21,train,2026-01-18
5906,Alperen Sengun,1/18/26,NOP,pr,0,1,0,experienced,starter,31.5,30.8,25.5,25.0,,32,34.3,1,0.6999999999999993,6.0,-0.5,,29,train,2026-01-18
5905,Alperen Sengun,1/18/26,NOP,pra,1,1,0,experienced,starter,6.5,37.2,30.2,29.6,,32,34.3,1,-30.700000000000003,-23.7,-0.5999999999999979,,33,train,2026-01-18
5908,Alperen Sengun,1/18/26,NOP,ra,0,1,0,experienced,starter,15.5,15.6,13.2,13.4,,32,34.3,1,-0.09999999999999964,2.3000000000000007,0.20000000000000107,,12,train,2026-01-18
5903,Alperen Sengun,1/18/26,NOP,rebounds,0,1,0,experienced,starter,8.5,9.2,8.5,8.8,3.4,32,34.3,1,-0.6999999999999993,0.0,0.3000000000000007,-0.20588235294117627,8,train,2026-01-18
5911,Alperen Sengun,1/16/26,MIN,assists,0,1,1,experienced,starter,5.5,6.5,5.2,5.2,2.7,31,34.4,0,-1.0,0.2999999999999998,0.0,-0.37037037037037035,3,train,2026-01-16
5914,Alperen Sengun,1/16/26,MIN,pa,1,1,1,experienced,starter,27.5,28.0,22.5,20.4,,31,34.4,0,-0.5,5.0,-2.1000000000000014,,28,train,2026-01-16
5909,Alperen Sengun,1/16/26,MIN,points,1,1,1,experienced,starter,20.5,21.5,17.3,15.2,7.8,31,34.4,0,-1.0,3.1999999999999993,-2.1000000000000014,-0.12820512820512822,25,train,2026-01-16
5913,Alperen Sengun,1/16/26,MIN,pr,1,1,1,experienced,starter,30.5,30.5,25.5,22.4,,31,34.4,0,0.0,5.0,-3.1000000000000014,,39,train,2026-01-16
5912,Alperen Sengun,1/16/26,MIN,pra,1,1,1,experienced,starter,5.5,37.0,30.7,27.6,,31,34.4,0,-31.5,-25.2,-3.099999999999998,,42,train,2026-01-16
5915,Alperen Sengun,1/16/26,MIN,ra,1,1,1,experienced,starter,15.5,15.5,13.4,12.4,,31,34.4,0,0.0,2.0999999999999996,-1.0,,17,train,2026-01-16
5910,Alperen Sengun,1/16/26,MIN,rebounds,1,1,1,experienced,starter,8.5,9.0,8.2,7.2,3.4,31,34.4,0,-0.5,0.3000000000000007,-0.9999999999999991,-0.14705882352941177,14,train,2026-01-16
5918,Alperen Sengun,1/15/26,OKC,assists,0,1,0,experienced,starter,5.5,6.6,5.7,5.0,2.7,30,34.4,1,-1.0999999999999996,-0.20000000000000018,-0.7000000000000002,-0.4074074074074073,5,train,2026-01-15
5921,Alperen Sengun,1/15/26,OKC,pa,0,1,0,experienced,starter,25.5,28.3,24.9,20.2,,30,34.4,1,-2.8000000000000007,0.6000000000000014,-4.699999999999999,,19,train,2026-01-15
5916,Alperen Sengun,1/15/26,OKC,points,0,1,0,experienced,starter,19.5,21.7,19.2,15.2,7.8,30,34.4,1,-2.1999999999999993,0.3000000000000007,-4.0,-0.282051282051282,14,train,2026-01-15
5920,Alperen Sengun,1/15/26,OKC,pr,0,1,0,experienced,starter,29.5,30.6,27.1,22.2,,30,34.4,1,-1.1000000000000014,2.3999999999999986,-4.900000000000002,,27,train,2026-01-15
5919,Alperen Sengun,1/15/26,OKC,pra,1,1,0,experienced,starter,5.5,37.2,32.8,27.2,,30,34.4,1,-31.700000000000003,-27.299999999999997,-5.599999999999998,,32,train,2026-01-15
5922,Alperen Sengun,1/15/26,OKC,ra,1,1,0,experienced,starter,14.5,15.4,13.6,12.0,,30,34.4,1,-0.9000000000000004,0.9000000000000004,-1.5999999999999996,,18,train,2026-01-15
5917,Alperen Sengun,1/15/26,OKC,rebounds,1,1,0,experienced,starter,9.5,8.9,7.9,7.0,3.3,30,34.4,1,0.5999999999999996,1.5999999999999996,-0.9000000000000004,0.1818181818181817,13,train,2026-01-15
5925,Alperen Sengun,1/13/26,CHI,assists,1,1,0,experienced,starter,5.5,6.4,5.1,4.2,2.6,29,34.4,1,-0.9000000000000004,0.40000000000000036,-0.8999999999999995,-0.34615384615384626,11,train,2026-01-13
5928,Alperen Sengun,1/13/26,CHI,pa,1,1,0,experienced,starter,28.5,28.1,24.2,18.6,,29,34.4,1,0.3999999999999986,4.300000000000001,-5.599999999999998,,34,train,2026-01-13
5923,Alperen Sengun,1/13/26,CHI,points,1,1,0,experienced,starter,21.5,21.7,19.1,14.4,7.9,29,34.4,1,-0.1999999999999993,2.3999999999999986,-4.700000000000001,-0.02531645569620244,23,train,2026-01-13
5927,Alperen Sengun,1/13/26,CHI,pr,0,1,0,experienced,starter,31.5,30.6,27.8,22.2,,29,34.4,1,0.8999999999999986,3.6999999999999993,-5.600000000000001,,30,train,2026-01-13
5926,Alperen Sengun,1/13/26,CHI,pra,1,1,0,experienced,starter,5.5,37.0,32.9,26.4,,29,34.4,1,-31.5,-27.4,-6.5,,41,train,2026-01-13
5929,Alperen Sengun,1/13/26,CHI,ra,1,1,0,experienced,starter,14.5,15.3,13.8,12.0,,29,34.4,1,-0.8000000000000007,0.6999999999999993,-1.8000000000000007,,18,train,2026-01-13
5924,Alperen Sengun,1/13/26,CHI,rebounds,0,1,0,experienced,starter,8.5,8.9,8.7,7.8,3.4,29,34.4,1,-0.40000000000000036,-0.1999999999999993,-0.8999999999999995,-0.11764705882352952,7,train,2026-01-13
5932,Alperen Sengun,1/11/26,SAC,assists,0,0,0,experienced,starter,5.5,6.5,5.0,4.0,2.6,28,34.4,7,-1.0,0.5,-1.0,-0.3846153846153846,4,train,2026-01-11
5935,Alperen Sengun,1/11/26,SAC,pa,0,0,0,experienced,starter,25.5,28.3,25.0,20.2,,28,34.4,7,-2.8000000000000007,0.5,-4.800000000000001,,23,train,2026-01-11
5930,Alperen Sengun,1/11/26,SAC,points,0,0,0,experienced,starter,20.5,21.8,20.0,16.2,8.0,28,34.4,7,-1.3000000000000007,0.5,-3.8000000000000007,-0.1625000000000001,19,train,2026-01-11
5934,Alperen Sengun,1/11/26,SAC,pr,0,0,0,experienced,starter,28.5,30.7,28.8,23.4,,28,34.4,7,-2.1999999999999993,-0.3000000000000007,-5.400000000000002,,28,train,2026-01-11
5933,Alperen Sengun,1/11/26,SAC,pra,1,0,0,experienced,starter,5.5,37.2,33.8,27.4,,28,34.4,7,-31.700000000000003,-28.299999999999997,-6.399999999999999,,32,train,2026-01-11
5936,Alperen Sengun,1/11/26,SAC,ra,0,0,0,experienced,starter,13.5,15.4,13.8,11.2,,28,34.4,7,-1.9000000000000004,-0.3000000000000007,-2.6000000000000014,,13,train,2026-01-11
5931,Alperen Sengun,1/11/26,SAC,rebounds,1,0,0,experienced,starter,8.5,8.9,8.8,7.2,3.4,28,34.4,7,-0.40000000000000036,-0.3000000000000007,-1.6000000000000005,-0.11764705882352952,9,train,2026-01-11
5939,Alperen Sengun,1/3/26,DAL,assists,0,0,0,experienced,starter,5.5,6.7,6.4,4.8,2.3,27,35.6,1,-1.2000000000000002,-0.9000000000000004,-1.6000000000000005,-0.5217391304347827,0,train,2026-01-03
5942,Alperen Sengun,1/3/26,DAL,pa,0,0,0,experienced,starter,27.5,29.3,29.5,22.6,,27,35.6,1,-1.8000000000000007,-2.0,-6.899999999999999,,0,train,2026-01-03
